facilityName,Division,LOCATION,County,Constituency,facilityType,Agency,Lat,Lng
CHEMELIL DISP,MUHORONI,CHEMELIL,KISUMU,NYAKACH,4,MOH,-0.096918,35.1049
KANDEGE DISP,MUHORONI,FORT TENAN,KISUMU,NYAKACH,4,MOH,-0.22,35.32
KIBIGORI DISP,MUHORONI,CHEMELIL,KISUMU,NYAKACH,4,MOH,-0.062695,35.0437
KIBOKO DISP,LOWER NYAKACH,N.E NYAKACH,KISUMU,NYAKACH,4,MOH,-0.286698,35.0126
KINASIA DISP,NYANDO,KIKOLO/E. KANO,KISUMU,NYAKACH,4,MOH,-0.246469,35.027977
MAKINDU DISP,MUHORONI,MUHORONI,KISUMU,NYAKACH,4,MOH,-0.149197,35.203175
MINARA DISP,MUHORONI,MUHORONI,KISUMU,NYAKACH,4,MOH,-0.162252,35.2242
NYAMARIMBA DISP,UPPER NYAKACH,S. W NYAKACH,KISUMU,NYAKACH,4,MOH,-0.36828,34.9046
OBOCH DISP,UPPER NYAKACH,OBOCH,KISUMU,NYAKACH,4,MOH,-0.380376,34.9297
SANGOROTA DISP,UPPER NYAKACH,THURDIBUORO,KISUMU,NYAKACH,4,MOH,-0.344224,34.888952
GOT BER DISP,KABONDO,RAMBA,HOMA BAY,RANGWE,4,MOH,-0.419823,34.823568
GOT OYARO DISP,WEST KARACHUONYO,KOKOTH KATENG,HOMA BAY,RANGWE,4,MOH,-0.38942,34.532
KOBUYA DISP,EAST KARACHUONYO,KOBUYA,HOMA BAY,RANGWE,4,MOH,-0.37,34.77
KOKWONYO DISP,KASIPUL,KOKWANYO,HOMA BAY,RANGWE,4,MOH,-0.424202,34.804778
KOSELE DISP,EAST KARACHUONYO,RAMBIRA,HOMA BAY,RANGWE,4,MOH,-0.379317,34.717615
NYANGIELA DISP,KASIPUL,KONUONGA,HOMA BAY,RANGWE,4,MOH,-0.550179,34.6906
NYASORE DISP,KABONDO,KOWOUR,HOMA BAY,RANGWE,4,MOH,-0.434471,34.895159
OBER DISP,KASIPUL,KOJWACH,HOMA BAY,RANGWE,4,MOH,-0.47143,34.8352
OLANDO DISP,EAST KARACHUONYO,KANYALUO SOUTH,HOMA BAY,RANGWE,4,MOH,-0.46574,34.635
OTARO DISP,WEST KARACHUONYO,KANYIPIR,HOMA BAY,RANGWE,4,MOH,-0.445946,34.5685
SINO DISP,KASIPUL,EAST KAMAGAK,HOMA BAY,RANGWE,4,MOH,-0.43757,34.7592
WAGWE H C,WEST KARACHUONYO,KANJIRA,HOMA BAY,RANGWE,4,MOH,-0.34503,34.5651
AKALA DISP,WAGAI,SOUTH GEM,SIAYA,UGENYA,4,MOH,-0.0349,34.4672
AMBIRA DISP,UGUNJA,CENTRAL UGENYA,SIAYA,UGENYA,4,MOH,0.1894,34.2644
BORO DISP,BORO,CENTRAL ALEGO,SIAYA,UGENYA,4,MOH,0.0671,34.2052
DIENYA DISP,WAGAI,WEST GEM,SIAYA,UGENYA,4,MOH,0.0008,34.3969
HAWINGA DISP,URANGA,S.W.ALEGO,SIAYA,UGENYA,4,MOH,0.1344,34.1624
KADENGE RATUORO DISP,BORO,S.CENTRAL ALEGO,SIAYA,UGENYA,4,MOH,0.0375,34.2103
KALUO DISP,UGUNJA,SOUTH UGENYA,SIAYA,UGENYA,4,MOH,0.1609,34.4214
KOGELO DISP,KAREMO,S.E.ALEGO,SIAYA,UGENYA,4,MOH,-0.0145,34.3429
